/home/zck7060/anaconda3/envs/mujoco/lib/python3.7/site-packages/tianshou/env/pettingzoo_env.py:15: DeprecationWarning: You are using PettingZoo 1.12.0. Future tianshou versions may not support PettingZoo<1.21.0. Consider upgrading your PettingZoo version.
  f"Consider upgrading your PettingZoo version.", DeprecationWarning
Episode 108, Reward 12.7
Episode 108, Reward 18.7
Episode 108, Reward 147.35
Episode 108, Reward 133.0
Episode 108, Reward 112.7
Episode 109, Reward 3.0
Episode 109, Reward 10.7
Episode 109, Reward 9.35
Episode 109, Reward 108.35
Episode 109, Reward 9.0
Episode 110, Reward 8.45
Episode 110, Reward 8.45
Episode 110, Reward 6.0
Episode 110, Reward 11.0
Episode 110, Reward 10.05
Episode 111, Reward -43
Episode 111, Reward 115.75
Episode 111, Reward 14.1
Episode 111, Reward 121.0
Episode 111, Reward -43
Episode 112, Reward 6.35
Episode 112, Reward 17.0
Episode 112, Reward 22.75
Episode 112, Reward 6.0
Episode 112, Reward 16.05
Episode 113, Reward 12.4
Episode 113, Reward 15.0
Episode 113, Reward 107.0
Episode 113, Reward 21.0
Episode 113, Reward 12.05
Episode 114, Reward 12.0
Episode 114, Reward 0.0
Episode 114, Reward 113.7
Episode 114, Reward 105.0
Episode 114, Reward 55
Episode 115, Reward -72
Episode 115, Reward 118.35
Episode 115, Reward 101.0
Episode 115, Reward -71
Episode 115, Reward 119.0
Episode 116, Reward 22.05
Episode 116, Reward 6.05
Episode 116, Reward -29
Episode 116, Reward 12.7
Episode 116, Reward 0.0
Episode 117, Reward 5.0
Episode 117, Reward -38
Episode 117, Reward 18.35
Episode 117, Reward 18.0
Episode 117, Reward 6.0
Episode 118, Reward -32
Episode 118, Reward 13.75
Episode 118, Reward 0.35
Episode 118, Reward 1.0499999999999998
Episode 118, Reward 17.35
Episode 119, Reward 12.0
Episode 119, Reward 10.0
Episode 119, Reward 13.05
Episode 119, Reward 17.7
Episode 119, Reward 12.05
Episode 120, Reward 13.4
Episode 120, Reward 13.05
Episode 120, Reward 23.0
Episode 120, Reward 17.0
Episode 120, Reward 8.1
Episode 121, Reward 6.0
Episode 121, Reward 6.05
Episode 121, Reward 5.7
Episode 121, Reward 4.05
Episode 121, Reward 4.05
Episode 122, Reward 11.0
Episode 122, Reward 7.449999999999999
Episode 122, Reward 13.05
Episode 122, Reward 12.0
Episode 122, Reward 8.1
Episode 123, Reward 0.0
Episode 123, Reward 0.0
Episode 123, Reward 0.0
Episode 123, Reward 35.349999999999994
Episode 123, Reward 0.0
Episode 124, Reward 9.35
Episode 124, Reward 15.35
Episode 124, Reward 8.4
Episode 124, Reward 4.4
Episode 124, Reward 15.35
Episode 125, Reward 110.75
Episode 125, Reward 112.0
